Site_name	Complexity	Nursery	Type	Mod_pred_biomass_5	Mod_herb_biomass_5	Mod_inv_biomass	Pred_Fprod	Herb_Fprod
Playa_Funchi_nc	No	X13	3	38.0036475	10.46494254	30.47074443	20.12171887	1.233385831
Aquarius	Yes	X15	4	118.0923279	40.61022332	9.745012314	24.74063636	6.40140857
Forest	Yes	X15	4	105.0344517	33.29375071	10.33507675	25.29791645	5.394018903
Kalabas	Yes	X15	4	119.8019408	47.66127179	9.141431873	19.26990825	6.641956042
Karpata	Yes	X15	4	88.83602279	33.64501196	11.63115347	21.33157463	5.82314372
Mi_Dushi	Yes	X15	4	112.3075288	27.60888502	13.29845995	42.59374281	4.076818371
Oil_Slick_Leap	Yes	X15	4	102.0683216	42.59800613	10.73310071	21.42373503	6.660146625
Playa_Funchi	Yes	X15	4	85.70561563	28.56509482	16.34429804	36.17744984	6.264418818
Aquarius_nc	No	X15	3	39.82533993	13.98325868	23.53621942	17.36719563	1.001875556
Forest_nc	No	X15	3	40.84081528	14.22595404	22.64986166	16.6441407	0.906542474
Kalabas_nc	No	X15	3	41.4128286	13.93352336	22.74242222	15.22184315	0.89302577
Karpata_nc	No	X15	3	39.62719546	13.25617415	25.23448095	16.32764884	1.132442728
Mi_Dushi_nc	No	X15	3	41.00598559	15.01020671	22.4244884	20.43147786	0.850758644
Oil_Slick_Leap_nc	No	X15	3	39.76371456	13.24595361	25.31499279	16.31541684	1.130938666
Playa_Funchi_nc	No	X15	3	37.02782366	12.01619347	30.47650418	19.60963726	1.684653161
Aquarius	Yes	X16	4	123.2664161	37.09017179	10.1926188	27.70346422	6.086930578
Forest	Yes	X16	4	109.5520754	30.66434629	10.74259284	28.10839662	5.116141482
Kalabas	Yes	X16	4	124.8365592	43.79698188	9.366156009	20.88312035	6.346167996
Karpata	Yes	X16	4	92.64732776	31.12133922	11.93092134	23.14747638	5.567786392
Mi_Dushi	Yes	X16	4	117.0279116	25.34184902	13.92891022	47.10071761	3.763613211
Oil_Slick_Leap	Yes	X16	4	106.5043641	39.11397288	10.9957105	23.04541314	6.375722414
Playa_Funchi	Yes	X16	4	89.15013297	26.77273951	16.85465099	38.91193089	6.07173709
Aquarius_nc	No	X16	3	42.72167652	13.43671205	23.38572094	18.98655937	0.891275307
Forest_nc	No	X16	3	43.73441175	13.70789227	22.52499642	18.30076207	0.807439546
Kalabas_nc	No	X16	3	44.50581807	13.40338062	22.47375991	16.51371551	0.790718031
Karpata_nc	No	X16	3	42.43494735	12.68568257	24.96265282	17.90628023	1.019349359
Mi_Dushi_nc	No	X16	3	43.98206859	14.46090809	22.50246713	22.19249393	0.749163312
Oil_Slick_Leap_nc	No	X16	3	42.5669406	12.67540101	25.04915392	17.91072262	1.019043113
Playa_Funchi_nc	No	X16	3	39.8895424	11.35615091	30.00606936	21.22259301	1.537170806
Aquarius	Yes	X18	4	114.9597493	40.21778296	9.275303307	21.37525136	6.347178239
